author,cover,publisher,title,url,year
Pillay A.,'https://libgen.lc/covers/3000/e29556894ed75a77ad8511d2d8a98e4f.jpg, ,Differential Galois theory 1,http://libgen.lc/ads.php?md5=e29556894ed75a77ad8511d2d8a98e4f,1998 
Heath P.R.,'https://libgen.lc/covers/3000/a0c13d3c6617e7751d60e761e636b1a5.jpg, ,An introduction to homotopy theory via groupoids and universal constructions,http://libgen.lc/ads.php?md5=a0c13d3c6617e7751d60e761e636b1a5,1978 
Teo Mora,'https://libgen.lc/covers/3000/4b1f54b603b14b4c689ddf5022c1adbe-d.jpg,Cambridge University Press ,"Solving polynomial equation systems I: the Kronecker-Duval philosophy [1 ed.] 9780521811545, 0521811546",http://libgen.lc/ads.php?md5=4b1f54b603b14b4c689ddf5022c1adbe,2002 
McMullen P.,'https://libgen.lc/covers/3000/bd5569aa191bbb33b3ad9294cb90aca6.jpg, ,The polytope algebra,http://libgen.lc/ads.php?md5=bd5569aa191bbb33b3ad9294cb90aca6,1989 
Miyanishi M.,'https://libgen.lc/covers/4000/ececd5dcd29db3bc11cfc70360a52371.jpg, ,Introduction a la theorie des sites et son application a la construction des preschemas quotients 0-8405-0174-9,http://libgen.lc/ads.php?md5=ececd5dcd29db3bc11cfc70360a52371,1971 
Claus Hertling,'https://libgen.lc/covers/3000/01a1010df41c1fea721cdd0662152b15-d.jpg,Cambridge University Press ,"Frobenius manifolds and moduli spaces for singularities [1 ed.] 9780521812962, 0521812968",http://libgen.lc/ads.php?md5=01a1010df41c1fea721cdd0662152b15,2002 
Dieudonne J.,'https://libgen.lc/covers/3000/ed60d095735a411902f45e0fcd967cbf.jpg,ND Press ,Topics in Local Algebra (Math. Lect. 10) [lectures ed.],http://libgen.lc/ads.php?md5=ed60d095735a411902f45e0fcd967cbf,1967 
Danilov V.I.,'https://libgen.lc/covers/3000/0ac5c5bfb33e28b087a864b8a0a2ce64.jpg, ,Geometry of toric varieties,http://libgen.lc/ads.php?md5=0ac5c5bfb33e28b087a864b8a0a2ce64,1978 
"F. Cossec, Dolgachev",'https://libgen.lc/covers/3000/482b21c6395600807d45f45bb9c37580-d.jpg,Birkhäuser Boston ,"Enriques Surfaces I [1 ed.] 9780817634179, 0817634177",http://libgen.lc/ads.php?md5=482b21c6395600807d45f45bb9c37580,1989 
Katz N.M.,'https://libgen.lc/covers/4000/52aaea42d15b89c5ac6cc445cd1e79ab.jpg,Princeton ,A conjecture in arithmetic theory of differential equations (Bull. Soc. Math. Fr. 1982),http://libgen.lc/ads.php?md5=52aaea42d15b89c5ac6cc445cd1e79ab, 
"Bogart, Stein.",'https://libgen.lc/covers/1000/86bd68e3835a2dcbd8bbc82f37f6b679.jpg, ,Discrete Math in Computer Science [web draft ed.],http://libgen.lc/ads.php?md5=86bd68e3835a2dcbd8bbc82f37f6b679,2002 
David T Harvey,'https://libgen.lc/covers/0/6d042784a40c78a99867bda73f290be0-d.jpg,McGraw-Hill Science/Engineering/Math ,"Modern analytical chemistry [1 ed.] 9780072375473, 0072375477",http://libgen.lc/ads.php?md5=6d042784a40c78a99867bda73f290be0,1999 
Brunella M.,'https://libgen.lc/covers/3000/e825e8a456201e679504bdde8252b494.jpg,IMPA Math.Publ ,Birational geometry of foliations,http://libgen.lc/ads.php?md5=e825e8a456201e679504bdde8252b494,2004 
"Pierre Cartier, Luc Illusie, Nicholas M. Katz, Gérard Laumon, Yuri I. Manin, Kenneth A. Ribet",'https://libgen.lc/covers/3000/781c374f6d834caa8ab4f501de2ba18f-d.jpg,Birkhäuser Boston ,"The Grothendieck Festschrift [Volume 1] 9780817645663, 0817645667",http://libgen.lc/ads.php?md5=781c374f6d834caa8ab4f501de2ba18f,2006 
"Gerstenhaber M., Schack D.",'https://libgen.lc/covers/3000/78184ddd0c8172d44eb89a08718e15d3.jpg,Contemp ,"Algebras, bialgebras, quantum groups, and algebraic deformation",http://libgen.lc/ads.php?md5=78184ddd0c8172d44eb89a08718e15d3,1992 
